# Full-corpus session_records TRUE-TOKEN length histogram, measured 2026-09-20.
# Format: <token_count>|<record_count>. Tokenizer: Qwen/Qwen3-Embedding-4B
# (shared by every Qwen-family embedder; Jina models use a different
# tokenizer but consume no bucket plan). 2,592,857 non-empty-text records
# of 6,409,927 total; 6,335 distinct lengths; unbinned, uncapped (the
# loader clamps >8192 into the truncation edge).
2|3068
3|3342
4|5232
5|70976
6|9564
7|475
8|648
9|537
10|873
11|549
12|607
13|1381
14|26385
15|58329
16|6063
17|4079
18|1780
19|34272
20|8247
21|68135
22|13266
23|5404
24|4262
25|5232
26|22905
27|5594
28|3258
29|3086
30|2329
31|2592
32|2528
33|2692
34|4523
35|3035
36|3542
37|2807
38|2809
39|3581
40|3866
41|6766
42|3521
43|4693
44|11528
45|68717
46|19483
47|9106
48|4471
49|5241
50|8972
51|5659
52|6015
53|8940
54|4846
55|5345
56|6285
57|10318
58|15619
59|19236
60|5573
61|5039
62|4364
63|5561
64|6569
65|5978
66|5488
67|4809
68|3954
69|3920
70|4228
71|3269
72|3290
73|3222
74|3871
75|3316
76|3613
77|5022
78|5654
79|3565
80|3617
81|5821
82|4598
83|5655
84|6398
85|7084
86|8239
87|8714
88|5949
89|5443
90|5482
91|5564
92|6263
93|5920
94|6802
95|7272
96|7173
97|5133
98|5687
99|4824
100|4568
101|5187
102|5387
103|5232
104|4817
105|4854
106|8096
107|4823
108|5891
109|5328
110|5317
111|5597
112|5120
113|5240
114|5165
115|5637
116|6101
117|7205
118|6352
119|6315
120|7391
121|8729
122|6911
123|9080
124|6581
125|9063
126|6252
127|6223
128|5867
129|5647
130|6774
131|7003
132|5423
133|5912
134|5896
135|5577
136|5440
137|5228
138|6010
139|5519
140|5800
141|5105
142|5540
143|5148
144|5212
145|5199
146|5040
147|5205
148|4972
149|5276
150|5260
151|5119
152|5238
153|5122
154|5099
155|4853
156|5057
157|4824
158|5012
159|4535
160|4496
161|4521
162|4615
163|4529
164|4690
165|4509
166|4878
167|4483
168|4604
169|4431
170|4580
171|4645
172|4508
173|4501
174|4564
175|4559
176|4445
177|4205
178|4275
179|4229
180|4153
181|4068
182|3963
183|3871
184|7550
185|4010
186|3712
187|3942
188|3747
189|4012
190|3764
191|3918
192|3537
193|4843
194|4318
195|3681
196|3584
197|3589
198|3426
199|3447
200|3934
201|3400
202|3454
203|3248
204|3367
205|3375
206|3157
207|3261
208|3714
209|3655
210|3173
211|3269
212|3082
213|2977
214|3970
215|3007
216|3096
217|3013
218|2945
219|2891
220|2926
221|3046
222|2940
223|3000
224|2997
225|2999
226|3220
227|3006
228|3047
229|3077
230|2976
231|3348
232|3398
233|3385
234|3243
235|3214
236|2857
237|2841
238|2686
239|2662
240|2650
241|2585
242|2485
243|2497
244|2565
245|2437
246|2501
247|2439
248|2744
249|2420
250|2262
251|2244
252|2317
253|2353
254|2205
255|2142
256|2193
257|2268
258|2179
259|2129
260|2158
261|2229
262|2200
263|2118
264|2124
265|2084
266|2047
267|2021
268|1962
269|2192
270|2029
271|1981
272|1934
273|1929
274|1960
275|1949
276|1925
277|1902
278|1944
279|1938
280|1959
281|1927
282|1938
283|1908
284|1956
285|1875
286|1895
287|1801
288|1729
289|1747
290|1652
291|1716
292|1708
293|1616
294|1636
295|1672
296|1555
297|1556
298|1530
299|1601
300|1532
301|1520
302|1545
303|1606
304|1544
305|1613
306|1471
307|1484
308|1514
309|1429
310|1447
311|1538
312|1559
313|1465
314|1446
315|1511
316|1398
317|1428
318|1536
319|1467
320|1386
321|1445
322|1426
323|1392
324|1417
325|1401
326|1394
327|1362
328|1385
329|1337
330|1415
331|1376
332|1407
333|1439
334|1438
335|1385
336|1405
337|1413
338|1358
339|1341
340|1343
341|1314
342|1315
343|1316
344|1300
345|1246
346|1283
347|1225
348|1166
349|1220
350|1148
351|1192
352|1148
353|1084
354|1164
355|1149
356|1133
357|1257
358|1339
359|1458
360|1480
361|1628
362|1854
363|2152
364|2853
365|3272
366|2987
367|2923
368|6858
369|1619
370|1647
371|2204
372|1132
373|1040
374|1051
375|1005
376|1054
377|1030
378|1067
379|1179
380|1048
381|1164
382|1120
383|1052
384|1157
385|1184
386|1184
387|1088
388|1151
389|1146
390|1042
391|1029
392|1062
393|1032
394|1099
395|1107
396|1048
397|967
398|1003
399|978
400|1041
401|1067
402|1408
403|1049
404|1013
405|1010
406|2460
407|994
408|14001
409|986
410|978
411|1023
412|978
413|1035
414|906
415|980
416|1142
417|6773
418|963
419|1005
420|1035
421|1055
422|2793
423|1162
424|1032
425|1069
426|1075
427|1197
428|1176
429|1029
430|1176
431|1784
432|1191
433|1248
434|2081
435|1226
436|1091
437|4270
438|2112
439|1337
440|1468
441|1219
442|1351
443|1317
444|1290
445|1253
446|1288
447|1351
448|2079
449|2169
450|1612
451|1277
452|1492
453|1504
454|1978
455|1493
456|1318
457|1642
458|1334
459|1413
460|1409
461|1271
462|1441
463|1476
464|1336
465|1531
466|1636
467|1710
468|1619
469|2267
470|4638
471|1626
472|5260
473|1649
474|4436
475|2486
476|1715
477|3758
478|1512
479|1664
480|1636
481|2524
482|9992
483|5752
484|1884
485|1561
486|1825
487|1692
488|1672
489|1611
490|2026
491|1470
492|1561
493|1557
494|1618
495|3202
496|1575
497|1483
498|1802
499|1976
500|1769
501|3846
502|1977
503|2102
504|1780
505|1685
506|1703
507|1591
508|1403
509|1520
510|1737
511|1583
512|7031
513|2338
514|1696
515|1458
516|2568
517|7643
518|1723
519|1815
520|1630
521|1547
522|1801
523|1747
524|1908
525|2025
526|1650
527|1801
528|1729
529|1623
530|1689
531|1587
532|1559
533|1887
534|2185
535|1835
536|2440
537|1796
538|2565
539|1841
540|1868
541|2117
542|1926
543|1823
544|1882
545|2197
546|1831
547|2012
548|1956
549|1828
550|1836
551|1731
552|1676
553|1728
554|1771
555|1882
556|1732
557|2058
558|2379
559|2596
560|2823
561|3098
562|2699
563|2387
564|2003
565|1723
566|1667
567|1832
568|1666
569|1617
570|1523
571|1641
572|1599
573|1599
574|1553
